,date,recovered
324,01-01-2021,3483.0
325,02-01-2021,2062.0
326,03-01-2021,5596.0
327,04-01-2021,3109.0
328,05-01-2021,2975.0
329,06-01-2021,4819.0
330,07-01-2021,5890.0
331,08-01-2021,4873.0
332,09-01-2021,3108.0
333,10-01-2021,8413.0
334,11-01-2021,4882.0
335,12-01-2021,4597.0
336,13-01-2021,8069.0
337,14-01-2021,9269.0
338,15-01-2021,8064.0
339,16-01-2021,4303.0
340,17-01-2021,10983.0
341,18-01-2021,6204.0
342,19-01-2021,5535.0
343,20-01-2021,8843.0
344,21-01-2021,10073.0
345,22-01-2021,8547.0
346,23-01-2021,4215.0
347,24-01-2021,10636.0
348,25-01-2021,5661.0
349,26-01-2021,5124.0
350,27-01-2021,8752.0
351,28-01-2021,9305.0
352,29-01-2021,7612.0
353,30-01-2021,3576.0
354,31-01-2021,10169.0
355,01-02-2021,5179.0
356,02-02-2021,4430.0
357,03-02-2021,8274.0
358,04-02-2021,8198.0
359,05-02-2021,7310.0
360,06-02-2021,3079.0
361,07-02-2021,9801.0
362,08-02-2021,5040.0
363,09-02-2021,4939.0
364,10-02-2021,8322.0
365,11-02-2021,8823.0
366,12-02-2021,7276.0
367,13-02-2021,3434.0
368,14-02-2021,9677.0
369,15-02-2021,4897.0
370,16-02-2021,3766.0
371,17-02-2021,6559.0
372,18-02-2021,7537.0
373,19-02-2021,5926.0
374,20-02-2021,3418.0
375,21-02-2021,7450.0
376,22-02-2021,3692.0
377,23-02-2021,3178.0
378,24-02-2021,5404.0
379,25-02-2021,5033.0
380,26-02-2021,3771.0
381,27-02-2021,1574.0
382,28-02-2021,5685.0
383,01-03-2021,2747.0
384,02-03-2021,2924.0
385,03-03-2021,4614.0
386,04-03-2021,4818.0
387,05-03-2021,4007.0
388,06-03-2021,1924.0
389,07-03-2021,5718.0
390,08-03-2021,2688.0
391,09-03-2021,2926.0
392,10-03-2021,4617.0
393,11-03-2021,5013.0
394,12-03-2021,3918.0
395,13-03-2021,2043.0
396,14-03-2021,5840.0
397,15-03-2021,2665.0
398,16-03-2021,2247.0
399,17-03-2021,3642.0
400,18-03-2021,3605.0
401,19-03-2021,2556.0
402,20-03-2021,1464.0
403,21-03-2021,3497.0
404,22-03-2021,1694.0
405,23-03-2021,739.0
406,24-03-2021,2254.0
407,25-03-2021,2107.0
408,26-03-2021,1494.0
409,27-03-2021,860.0
410,28-03-2021,882.0
411,29-03-2021,1471.0
412,30-03-2021,827.0
413,31-03-2021,1084.0
414,01-04-2021,1068.0
415,02-04-2021,645.0
416,03-04-2021,466.0
417,04-04-2021,1066.0
418,05-04-2021,512.0
419,06-04-2021,495.0
420,07-04-2021,424.0
421,08-04-2021,639.0
422,09-04-2021,580.0
423,10-04-2021,388.0
424,11-04-2021,777.0
425,12-04-2021,363.0
426,13-04-2021,381.0
427,14-04-2021,485.0
428,15-04-2021,259.0
429,16-04-2021,367.0
430,17-04-2021,214.0
431,18-04-2021,548.0
432,19-04-2021,201.0
433,20-04-2021,228.0
434,21-04-2021,237.0
435,22-04-2021,336.0
436,23-04-2021,266.0
437,24-04-2021,116.0
438,25-04-2021,194.0
439,26-04-2021,147.0
440,27-04-2021,149.0
441,28-04-2021,178.0
442,29-04-2021,171.0
443,30-04-2021,130.0
444,01-05-2021,71.0
445,02-05-2021,220.0
446,03-05-2021,152.0
447,04-05-2021,106.0
448,05-05-2021,143.0
449,06-05-2021,145.0
450,07-05-2021,88.0
451,08-05-2021,63.0
452,09-05-2021,148.0
453,10-05-2021,57.0
454,11-05-2021,84.0
455,12-05-2021,94.0
456,13-05-2021,73.0
457,14-05-2021,65.0
458,15-05-2021,46.0
459,16-05-2021,102.0
460,17-05-2021,19.0
461,18-05-2021,93.0
462,19-05-2021,91.0
463,20-05-2021,74.0
464,21-05-2021,33.0
465,22-05-2021,24.0
466,23-05-2021,86.0
467,24-05-2021,29.0
468,25-05-2021,42.0
469,26-05-2021,36.0
470,27-05-2021,40.0
471,28-05-2021,40.0
472,29-05-2021,17.0
473,30-05-2021,71.0
474,31-05-2021,27.0
475,01-06-2021,36.0
476,02-06-2021,48.0
477,03-06-2021,139.0
478,04-06-2021,11.0
479,05-06-2021,7.0
480,06-06-2021,56.0
481,07-06-2021,52.0
482,08-06-2021,17.0
483,09-06-2021,24.0
484,10-06-2021,30.0
485,11-06-2021,21.0
486,12-06-2021,15.0
487,13-06-2021,28.0
488,14-06-2021,23.0
489,15-06-2021,16.0
490,16-06-2021,9.0
491,17-06-2021,43.0
492,18-06-2021,11.0
493,19-06-2021,9.0
494,20-06-2021,87.0
495,21-06-2021,39.0
496,22-06-2021,11.0
497,23-06-2021,24.0
498,24-06-2021,44.0
499,25-06-2021,19.0
500,26-06-2021,15.0
501,27-06-2021,73.0
502,28-06-2021,28.0
503,,
