VaccinationDate,age_group,first_dose,second_dose
2021-01-21,50-59,11063,25706
2021-01-21,20-29,9538,9662
2021-01-21,60-69,3840,41914
2021-01-21,30-39,13638,13405
2021-01-21,70-79,2032,32942
2021-01-21,90+,213,4015
2021-01-21,40-49,26006,18804
2021-01-21,0-19,2270,1741
2021-01-21,80-89,978,15738
2021-01-22,30-39,8112,5489
2021-01-22,70-79,915,13710
2021-01-22,40-49,15348,8621
2021-01-22,60-69,2067,18518
2021-01-22,20-29,3857,3060
2021-01-22,50-59,5592,12960
2021-01-22,0-19,1216,723
2021-01-22,80-89,492,6329
2021-01-22,90+,113,1505
2021-01-23,50-59,5953,11294
2021-01-23,40-49,14563,7498
2021-01-23,90+,106,1494
2021-01-23,70-79,801,9404
2021-01-23,60-69,1570,12436
2021-01-23,80-89,386,4945
2021-01-23,0-19,6649,483
2021-01-23,20-29,3473,2151
2021-01-23,30-39,6345,3755
2021-01-24,60-69,3631,33267
2021-01-24,50-59,8480,26990
2021-01-24,20-29,11021,8654
2021-01-24,80-89,999,12564
2021-01-24,0-19,12139,1763
2021-01-24,90+,223,2991
2021-01-24,70-79,1952,24549
2021-01-24,40-49,19943,17922
2021-01-24,30-39,10547,11632
2021-01-25,0-19,14690,1864
2021-01-25,20-29,15472,9248
2021-01-25,50-59,9562,28203
2021-01-25,70-79,2065,22790
2021-01-25,30-39,13352,12280
2021-01-25,90+,251,2573
2021-01-25,80-89,1003,11806
2021-01-25,60-69,3858,30378
2021-01-25,40-49,20479,20021
2021-01-26,80-89,925,10407
2021-01-26,0-19,14408,1764
2021-01-26,50-59,8395,25193
2021-01-26,20-29,15527,8312
2021-01-26,90+,236,2237
2021-01-26,30-39,14160,11206
2021-01-26,60-69,3482,28367
2021-01-26,40-49,19408,18175
2021-01-26,70-79,1936,20395
2021-01-27,20-29,14328,10217
2021-01-27,80-89,841,10042
2021-01-27,0-19,15695,2089
2021-01-27,60-69,3205,28300
2021-01-27,90+,229,2275
2021-01-27,30-39,13623,11114
2021-01-27,50-59,8419,23735
2021-01-27,70-79,1720,19454
2021-01-27,40-49,19630,17490
2021-01-28,20-29,15962,9887
2021-01-28,0-19,13343,2125
2021-01-28,80-89,664,8927
2021-01-28,30-39,20221,13008
2021-01-28,60-69,2978,27684
2021-01-28,90+,173,1927
2021-01-28,40-49,16977,20909
2021-01-28,70-79,1502,18135
2021-01-28,50-59,7589,27689
2021-01-29,90+,42,625
2021-01-29,0-19,5617,1583
2021-01-29,20-29,5966,4932
2021-01-29,80-89,255,3156
2021-01-29,50-59,3473,14231
2021-01-29,60-69,1235,11233
2021-01-29,70-79,524,6919
2021-01-29,40-49,8734,14164
2021-01-29,30-39,10676,7767
2021-01-30,20-29,5144,3120
2021-01-30,90+,30,391
2021-01-30,70-79,453,3809
2021-01-30,80-89,173,1809
2021-01-30,0-19,4971,904
2021-01-30,30-39,10583,5798
2021-01-30,40-49,8806,10605
2021-01-30,50-59,3136,9662
2021-01-30,60-69,990,6565
2021-01-31,0-19,9520,1045
2021-01-31,30-39,21642,7517
2021-01-31,70-79,1550,6958
2021-01-31,80-89,681,3531
2021-01-31,60-69,2952,10816
2021-01-31,90+,168,741
2021-01-31,40-49,16118,12472
2021-01-31,50-59,7227,11913
2021-01-31,20-29,13317,4346
2021-02-01,60-69,3052,5098
2021-02-01,90+,229,378
2021-02-01,80-89,844,1662
2021-02-01,20-29,19509,3013
2021-02-01,0-19,10298,579
2021-02-01,50-59,7581,7752
2021-02-01,70-79,1726,3391
2021-02-01,40-49,14844,8321
2021-02-01,30-39,24187,5013
2021-02-02,20-29,15748,2447
2021-02-02,90+,243,292
2021-02-02,30-39,19960,3933
2021-02-02,70-79,1678,2646
2021-02-02,50-59,6552,8846
2021-02-02,40-49,13302,6345
2021-02-02,60-69,2888,4603
2021-02-02,80-89,892,1397
2021-02-02,0-19,8599,438
2021-02-03,50-59,5762,21539
2021-02-03,30-39,17056,5177
2021-02-03,60-69,2608,6484
2021-02-03,90+,236,308
2021-02-03,40-49,10625,8100
2021-02-03,70-79,1562,3462
2021-02-03,20-29,14696,3918
2021-02-03,80-89,863,1626
2021-02-03,0-19,6663,654
2021-02-04,70-79,1183,2766
2021-02-04,50-59,5252,22720
2021-02-04,30-39,23200,7359
2021-02-04,40-49,10497,10346
2021-02-04,60-69,2294,5572
2021-02-04,90+,141,239
2021-02-04,80-89,641,1276
2021-02-04,20-29,22637,6208
2021-02-04,0-19,6540,1433
2021-02-05,50-59,2694,11420
2021-02-05,60-69,1077,2572
2021-02-05,40-49,5208,5514
2021-02-05,80-89,241,573
2021-02-05,0-19,2745,524
2021-02-05,90+,77,113
2021-02-05,20-29,9914,2542
2021-02-05,70-79,537,1245
2021-02-05,30-39,11284,4153
2021-02-06,0-19,1940,341
2021-02-06,50-59,1626,10041
2021-02-06,40-49,3073,5491
2021-02-06,20-29,6972,1512
2021-02-06,80-89,139,264
2021-02-06,70-79,262,632
2021-02-06,60-69,558,1429
2021-02-06,90+,34,56
2021-02-06,30-39,6928,2374
2021-02-07,20-29,16757,9218
2021-02-07,50-59,4363,23158
2021-02-07,0-19,4635,1827
2021-02-07,30-39,16482,7382
2021-02-07,40-49,7765,18375
2021-02-07,70-79,1121,2448
2021-02-07,60-69,2089,4731
2021-02-07,90+,167,226
2021-02-07,80-89,562,1177
2021-02-08,50-59,4478,16462
2021-02-08,0-19,4299,2584
2021-02-08,80-89,568,923
2021-02-08,20-29,19914,12127
2021-02-08,40-49,7825,19960
2021-02-08,60-69,2103,4026
2021-02-08,90+,135,163
2021-02-08,70-79,1112,2007
2021-02-08,30-39,18046,6950
2021-02-09,0-19,5139,2696
2021-02-09,80-89,628,843
2021-02-09,90+,205,187
2021-02-09,20-29,22764,12051
2021-02-09,70-79,1243,1938
2021-02-09,60-69,2557,3807
2021-02-09,30-39,19071,8317
2021-02-09,40-49,9093,23255
2021-02-09,50-59,5419,14182
2021-02-10,0-19,5392,2340
2021-02-10,90+,153,134
2021-02-10,80-89,571,822
2021-02-10,20-29,24075,10753
2021-02-10,50-59,5744,13131
2021-02-10,30-39,20594,11466
2021-02-10,60-69,2697,3690
2021-02-10,40-49,9817,27789
2021-02-10,70-79,1293,1820
2021-02-11,80-89,636,1002
2021-02-11,30-39,23142,13568
2021-02-11,0-19,6386,2269
2021-02-11,20-29,27363,10387
2021-02-11,90+,137,200
2021-02-11,50-59,6821,11645
2021-02-11,60-69,3128,3917
2021-02-11,70-79,1401,2093
2021-02-11,40-49,11878,26451
2021-02-12,20-29,12967,3842
2021-02-12,30-39,11134,7795
2021-02-12,90+,61,101
2021-02-12,40-49,5887,15124
2021-02-12,70-79,598,937
2021-02-12,80-89,285,473
2021-02-12,0-19,3079,1156
2021-02-12,60-69,1458,2098
2021-02-12,50-59,3467,5883
2021-02-13,90+,26,72
2021-02-13,80-89,170,278
2021-02-13,40-49,4287,11650
2021-02-13,60-69,1019,1302
2021-02-13,30-39,7330,4636
2021-02-13,70-79,377,619
2021-02-13,50-59,2593,5377
2021-02-13,20-29,9115,2365
2021-02-13,0-19,2471,4046
2021-02-14,60-69,3532,3667
2021-02-14,30-39,19897,11289
2021-02-14,70-79,1657,2002
2021-02-14,40-49,11639,21900
2021-02-14,90+,149,214
2021-02-14,50-59,6964,8959
2021-02-14,80-89,715,952
2021-02-14,0-19,6875,9896
2021-02-14,20-29,23299,9991
2021-02-15,90+,207,283
2021-02-15,30-39,21516,12488
2021-02-15,40-49,12775,20487
2021-02-15,70-79,1748,2117
2021-02-15,80-89,812,1038
2021-02-15,0-19,7488,12367
2021-02-15,20-29,25068,13176
2021-02-15,50-59,7850,9515
2021-02-15,60-69,3853,4016
2021-02-16,90+,167,239
2021-02-16,80-89,769,963
2021-02-16,70-79,1813,1939
2021-02-16,40-49,12698,18988
2021-02-16,60-69,3833,3505
2021-02-16,50-59,7606,8467
2021-02-16,30-39,21422,13712
2021-02-16,20-29,26519,15862
2021-02-16,0-19,8488,14359
2021-02-17,60-69,2384,2999
2021-02-17,30-39,15882,12831
2021-02-17,40-49,9750,18276
2021-02-17,70-79,959,1593
2021-02-17,90+,86,160
2021-02-17,80-89,371,708
2021-02-17,20-29,20630,15842
2021-02-17,0-19,6344,14978
2021-02-17,50-59,5389,7948
2021-02-18,70-79,1048,1492
2021-02-18,90+,69,146
2021-02-18,50-59,6344,7947
2021-02-18,60-69,2866,3058
2021-02-18,20-29,21855,15655
2021-02-18,80-89,386,640
2021-02-18,30-39,17959,18768
2021-02-18,40-49,11158,17725
2021-02-18,0-19,7290,14061
2021-02-19,50-59,3539,3692
2021-02-19,60-69,1483,1330
2021-02-19,40-49,6390,9325
2021-02-19,90+,25,54
2021-02-19,70-79,475,592
2021-02-19,30-39,10568,10358
2021-02-19,80-89,184,259
2021-02-19,20-29,12678,6214
2021-02-19,0-19,4217,6167
2021-02-20,40-49,5222,7709
2021-02-20,70-79,435,393
2021-02-20,30-39,7629,8139
2021-02-20,50-59,2939,2881
2021-02-20,0-19,3900,4451
2021-02-20,20-29,10139,4042
2021-02-20,60-69,1132,862
2021-02-20,80-89,160,145
2021-02-20,90+,28,21
2021-02-21,0-19,8545,10049
2021-02-21,50-59,7311,7625
2021-02-21,40-49,12462,17575
2021-02-21,60-69,3804,3242
2021-02-21,70-79,1833,1730
2021-02-21,90+,175,212
2021-02-21,30-39,20577,22697
2021-02-21,20-29,23838,14385
2021-02-21,80-89,767,825
2021-02-22,50-59,7698,7636
2021-02-22,0-19,8641,9506
2021-02-22,20-29,25438,18459
2021-02-22,80-89,880,875
2021-02-22,90+,207,245
2021-02-22,40-49,13001,15147
2021-02-22,70-79,2120,1758
2021-02-22,30-39,22715,23510
2021-02-22,60-69,4174,3215
2021-02-23,20-29,23924,16241
2021-02-23,0-19,8434,9105
2021-02-23,50-59,6990,6586
2021-02-23,40-49,11647,13032
2021-02-23,30-39,19662,19605
2021-02-23,70-79,1853,1680
2021-02-23,60-69,3682,2869
2021-02-23,90+,156,226
2021-02-23,80-89,844,882
2021-02-24,80-89,709,815
2021-02-24,20-29,18746,15869
2021-02-24,0-19,6829,7774
2021-02-24,70-79,1563,1567
2021-02-24,30-39,15146,17190
2021-02-24,90+,156,195
2021-02-24,60-69,2946,2688
2021-02-24,50-59,5502,5861
2021-02-24,40-49,9278,10909
2021-02-25,80-89,615,648
2021-02-25,20-29,15241,18307
2021-02-25,30-39,12891,20686
2021-02-25,60-69,2643,2296
2021-02-25,40-49,8277,10264
2021-02-25,70-79,1228,1231
2021-02-25,0-19,5388,5601
2021-02-25,50-59,5082,5348
2021-02-25,90+,141,160
2021-02-26,20-29,7505,8675
2021-02-26,0-19,2642,2719
2021-02-26,90+,51,67
2021-02-26,80-89,289,240
2021-02-26,70-79,521,530
2021-02-26,30-39,6691,10534
2021-02-26,40-49,4279,5322
2021-02-26,60-69,1185,1075
2021-02-26,50-59,2590,2724
2021-02-27,90+,17,34
2021-02-27,30-39,4159,6896
2021-02-27,70-79,344,265
2021-02-27,20-29,5736,6521
2021-02-27,80-89,143,123
2021-02-27,0-19,2526,1959
2021-02-27,50-59,1725,1606
2021-02-27,60-69,739,559
2021-02-27,40-49,2866,3162
2021-02-28,20-29,11355,16598
2021-02-28,70-79,1110,1134
2021-02-28,90+,94,171
2021-02-28,40-49,6388,8612
2021-02-28,30-39,9879,17073
2021-02-28,60-69,2147,2075
2021-02-28,50-59,3824,4522
2021-02-28,0-19,4826,4932
2021-02-28,80-89,541,592
2021-03-01,70-79,1329,1155
2021-03-01,30-39,11119,18933
2021-03-01,40-49,7133,8168
2021-03-01,60-69,2600,2175
2021-03-01,80-89,618,615
2021-03-01,90+,129,143
2021-03-01,20-29,13024,20631
2021-03-01,0-19,5063,4920
2021-03-01,50-59,4493,4525
2021-03-02,90+,121,222
2021-03-02,70-79,1431,1191
2021-03-02,60-69,2798,2418
2021-03-02,50-59,4363,5112
2021-03-02,40-49,6476,9015
2021-03-02,0-19,4273,4846
2021-03-02,20-29,11464,22026
2021-03-02,80-89,570,645
2021-03-02,30-39,9486,19046
2021-03-03,60-69,2825,2652
2021-03-03,50-59,4430,5535
2021-03-03,90+,131,183
2021-03-03,40-49,6516,9143
2021-03-03,70-79,1537,1299
2021-03-03,30-39,9284,19295
2021-03-03,20-29,11575,22759
2021-03-03,0-19,4844,5077
2021-03-03,80-89,630,615
2021-03-04,70-79,1215,1402
2021-03-04,90+,106,141
2021-03-04,30-39,9019,22763
2021-03-04,0-19,4448,6133
2021-03-04,20-29,10896,26471
2021-03-04,50-59,4345,6694
2021-03-04,80-89,514,634
2021-03-04,40-49,6395,11523
2021-03-04,60-69,2537,3084
2021-03-05,80-89,202,266
2021-03-05,50-59,1974,3400
2021-03-05,30-39,4023,11733
2021-03-05,40-49,2946,6175
2021-03-05,60-69,1019,1461
2021-03-05,70-79,484,619
2021-03-05,0-19,1760,3005
2021-03-05,20-29,4716,13599
2021-03-05,90+,40,64
2021-03-06,60-69,584,933
2021-03-06,20-29,3226,8312
2021-03-06,0-19,1440,2098
2021-03-06,80-89,73,153
2021-03-06,30-39,2135,6992
2021-03-06,90+,19,28
2021-03-06,70-79,243,347
2021-03-06,50-59,1162,2464
2021-03-06,40-49,1685,3950
2021-03-07,20-29,8755,23049
2021-03-07,0-19,3870,6520
2021-03-07,50-59,3127,6540
2021-03-07,70-79,1075,1598
2021-03-07,80-89,530,682
2021-03-07,30-39,6703,19757
2021-03-07,90+,135,132
2021-03-07,60-69,2009,3328
2021-03-07,40-49,4759,11071
2021-03-08,0-19,3342,6371
2021-03-08,20-29,8074,22523
2021-03-08,50-59,2745,7062
2021-03-08,90+,106,208
2021-03-08,80-89,421,771
2021-03-08,30-39,5951,19509
2021-03-08,60-69,1628,3558
2021-03-08,70-79,887,1644
2021-03-08,40-49,4008,11430
2021-03-09,20-29,7700,24071
2021-03-09,70-79,800,1711
2021-03-09,90+,87,164
2021-03-09,30-39,5831,19863
2021-03-09,80-89,425,761
2021-03-09,0-19,3331,7464
2021-03-09,60-69,1684,3564
2021-03-09,40-49,3996,11788
2021-03-09,50-59,2647,7087
2021-03-10,0-19,3452,5987
2021-03-10,80-89,337,421
2021-03-10,90+,87,94
2021-03-10,40-49,3448,9007
2021-03-10,30-39,4914,14941
2021-03-10,60-69,1276,2369
2021-03-10,70-79,707,1022
2021-03-10,50-59,2162,5098
2021-03-10,20-29,6707,19563
2021-03-11,60-69,1307,2870
2021-03-11,90+,74,62
2021-03-11,80-89,316,400
2021-03-11,0-19,3082,6896
2021-03-11,20-29,6693,21648
2021-03-11,50-59,2191,6324
2021-03-11,30-39,5229,18374
2021-03-11,40-49,3575,11246
2021-03-11,70-79,590,1063
2021-03-12,20-29,3399,13131
2021-03-12,90+,26,20
2021-03-12,80-89,111,182
2021-03-12,70-79,263,472
2021-03-12,30-39,2540,11296
2021-03-12,50-59,1022,3829
2021-03-12,60-69,553,1509
2021-03-12,40-49,1758,6802
2021-03-12,0-19,1424,4054
2021-03-13,50-59,715,2352
2021-03-13,60-69,326,927
2021-03-13,70-79,138,336
2021-03-13,40-49,1273,4104
2021-03-13,30-39,1676,6100
2021-03-13,90+,<15,26
2021-03-13,80-89,52,147
2021-03-13,20-29,2542,8192
2021-03-13,0-19,1119,2997
2021-03-14,70-79,573,1685
2021-03-14,50-59,1919,6775
2021-03-14,60-69,1173,3498
2021-03-14,30-39,4561,19707
2021-03-14,40-49,2978,11741
2021-03-14,80-89,288,692
2021-03-14,90+,66,143
2021-03-14,0-19,2971,7354
2021-03-14,20-29,6300,22231
2021-03-15,50-59,1830,7084
2021-03-15,60-69,1047,3799
2021-03-15,40-49,2961,12037
2021-03-15,80-89,261,833
2021-03-15,0-19,2597,8033
2021-03-15,90+,57,200
2021-03-15,20-29,6131,23710
2021-03-15,70-79,506,1962
2021-03-15,30-39,4513,20389
2021-03-16,0-19,2557,7962
2021-03-16,50-59,1642,6383
2021-03-16,30-39,4039,18146
2021-03-16,20-29,5662,22196
2021-03-16,40-49,2780,10676
2021-03-16,80-89,257,759
2021-03-16,60-69,999,3391
2021-03-16,90+,76,141
2021-03-16,70-79,519,1697
2021-03-17,20-29,5219,17860
2021-03-17,50-59,1659,5520
2021-03-17,0-19,2334,6288
2021-03-17,70-79,457,1565
2021-03-17,30-39,3948,14882
2021-03-17,40-49,2631,8968
2021-03-17,60-69,979,2896
2021-03-17,80-89,228,698
2021-03-17,90+,46,155
2021-03-18,50-59,1537,5544
2021-03-18,80-89,231,641
2021-03-18,0-19,2035,5998
2021-03-18,20-29,4604,17166
2021-03-18,60-69,914,2833
2021-03-18,40-49,2418,9350
2021-03-18,90+,66,131
2021-03-18,30-39,3594,15015
2021-03-18,70-79,427,1284
2021-03-19,0-19,807,2683
2021-03-19,20-29,1930,8369
2021-03-19,80-89,73,283
2021-03-19,70-79,133,534
2021-03-19,90+,<15,40
2021-03-19,30-39,1718,7518
2021-03-19,40-49,1108,4534
2021-03-19,60-69,312,1211
2021-03-19,50-59,660,2696
2021-03-20,0-19,716,2066
2021-03-20,90+,<15,<15
2021-03-20,80-89,47,103
2021-03-20,20-29,1764,4891
2021-03-20,50-59,460,1429
2021-03-20,30-39,1034,3374
2021-03-20,40-49,764,2448
2021-03-20,60-69,225,604
2021-03-20,70-79,98,297
2021-03-21,20-29,3990,11764
2021-03-21,80-89,178,556
2021-03-21,0-19,1749,4538
2021-03-21,90+,47,101
2021-03-21,30-39,2934,10307
2021-03-21,40-49,1831,6238
2021-03-21,60-69,740,2112
2021-03-21,50-59,1187,3712
2021-03-21,70-79,374,1034
2021-03-22,20-29,4183,11994
2021-03-22,90+,69,125
2021-03-22,70-79,409,1045
2021-03-22,30-39,3027,10238
2021-03-22,40-49,1896,6203
2021-03-22,80-89,159,551
2021-03-22,0-19,1681,4589
2021-03-22,50-59,1196,3647
2021-03-22,60-69,730,1978
2021-03-23,80-89,26,89
2021-03-23,40-49,381,1178
2021-03-23,60-69,175,290
2021-03-23,90+,<15,18
2021-03-23,50-59,272,643
2021-03-23,30-39,557,1752
2021-03-23,70-79,54,172
2021-03-23,0-19,310,823
2021-03-23,20-29,820,2189
2021-03-24,90+,43,140
2021-03-24,70-79,301,1244
2021-03-24,60-69,543,2324
2021-03-24,40-49,1627,6896
2021-03-24,30-39,2327,11357
2021-03-24,80-89,179,662
2021-03-24,0-19,1367,5289
2021-03-24,20-29,3494,14372
2021-03-24,50-59,905,4065
2021-03-25,30-39,2263,8606
2021-03-25,90+,45,96
2021-03-25,40-49,1484,5407
2021-03-25,70-79,269,764
2021-03-25,20-29,3100,10921
