first_week_day,last_week_day,age_group,gender,weekly_tests_num,weekly_cases,weekly_deceased
4/5/2020,4/11/2020,60-64,????,1019,53,<15
4/5/2020,4/11/2020,65-69,???,832,58,<15
4/5/2020,4/11/2020,65-69,?? ????,<15,0,0
4/5/2020,4/11/2020,65-69,????,774,38,<15
4/5/2020,4/11/2020,70-74,???,653,40,<15
4/5/2020,4/11/2020,70-74,?? ????,<15,0,0
4/5/2020,4/11/2020,70-74,????,614,47,<15
4/5/2020,4/11/2020,75-79,???,449,26,<15
4/5/2020,4/11/2020,75-79,????,441,23,<15
4/5/2020,4/11/2020,80+,???,962,51,<15
4/5/2020,4/11/2020,80+,?? ????,<15,0,0
4/5/2020,4/11/2020,80+,????,1774,100,25
4/5/2020,4/11/2020,NULL,???,592,26,0
4/5/2020,4/11/2020,NULL,?? ????,229,<15,0
4/5/2020,4/11/2020,NULL,????,461,21,0
4/12/2020,4/18/2020,0-19,???,3573,313,0
4/12/2020,4/18/2020,0-19,?? ????,29,0,0
4/12/2020,4/18/2020,0-19,????,3031,354,0
4/12/2020,4/18/2020,20-24,???,3464,185,0
4/12/2020,4/18/2020,20-24,?? ????,<15,0,0
4/12/2020,4/18/2020,20-24,????,2753,171,0
4/12/2020,4/18/2020,25-29,???,3179,121,0
4/12/2020,4/18/2020,25-29,?? ????,<15,0,0
4/12/2020,4/18/2020,25-29,????,2677,101,0
4/12/2020,4/18/2020,30-34,???,2809,82,0
4/12/2020,4/18/2020,30-34,?? ????,<15,0,0
4/12/2020,4/18/2020,30-34,????,2412,79,0
4/12/2020,4/18/2020,35-39,???,2360,77,0
4/12/2020,4/18/2020,35-39,?? ????,<15,0,0
4/12/2020,4/18/2020,35-39,????,2187,54,0
4/12/2020,4/18/2020,40-44,???,2088,66,0
4/12/2020,4/18/2020,40-44,?? ????,<15,0,0
4/12/2020,4/18/2020,40-44,????,2086,66,<15
4/12/2020,4/18/2020,45-49,???,1938,78,0
4/12/2020,4/18/2020,45-49,?? ????,<15,0,0
4/12/2020,4/18/2020,45-49,????,2265,91,0
4/12/2020,4/18/2020,50-54,???,1805,76,0
4/12/2020,4/18/2020,50-54,?? ????,<15,<15,0
4/12/2020,4/18/2020,50-54,????,2105,70,0
4/12/2020,4/18/2020,55-59,???,1594,64,0
4/12/2020,4/18/2020,55-59,????,1944,55,0
4/12/2020,4/18/2020,60-64,???,1596,41,<15
4/12/2020,4/18/2020,60-64,?? ????,<15,<15,0
4/12/2020,4/18/2020,60-64,????,1801,45,0
4/12/2020,4/18/2020,65-69,???,1305,45,<15
4/12/2020,4/18/2020,65-69,?? ????,<15,0,0
4/12/2020,4/18/2020,65-69,????,1343,34,0
4/12/2020,4/18/2020,70-74,???,1137,36,<15
4/12/2020,4/18/2020,70-74,?? ????,<15,0,0
4/12/2020,4/18/2020,70-74,????,1228,37,<15
4/12/2020,4/18/2020,75-79,???,768,16,<15
4/12/2020,4/18/2020,75-79,?? ????,<15,0,0
4/12/2020,4/18/2020,75-79,????,1024,25,<15
4/12/2020,4/18/2020,80+,???,2609,47,18
4/12/2020,4/18/2020,80+,?? ????,<15,0,0
4/12/2020,4/18/2020,80+,????,5908,83,26
4/12/2020,4/18/2020,NULL,???,899,36,0
4/12/2020,4/18/2020,NULL,?? ????,496,<15,0
4/12/2020,4/18/2020,NULL,????,1076,25,0
4/19/2020,4/25/2020,0-19,???,4915,334,0
4/19/2020,4/25/2020,0-19,?? ????,166,<15,0
4/19/2020,4/25/2020,0-19,????,3917,286,0
4/19/2020,4/25/2020,20-24,???,4187,128,0
4/19/2020,4/25/2020,20-24,?? ????,21,0,0
4/19/2020,4/25/2020,20-24,????,3132,110,0
4/19/2020,4/25/2020,25-29,???,3562,77,0
4/19/2020,4/25/2020,25-29,?? ????,<15,0,0
4/19/2020,4/25/2020,25-29,????,3186,83,<15
4/19/2020,4/25/2020,30-34,???,3158,53,0
4/19/2020,4/25/2020,30-34,?? ????,<15,0,0
4/19/2020,4/25/2020,30-34,????,2951,50,0
4/19/2020,4/25/2020,35-39,???,2691,46,0
4/19/2020,4/25/2020,35-39,?? ????,<15,0,0
4/19/2020,4/25/2020,35-39,????,2521,44,0
4/19/2020,4/25/2020,40-44,???,2314,36,0
4/19/2020,4/25/2020,40-44,?? ????,<15,0,0
4/19/2020,4/25/2020,40-44,????,2430,46,0
4/19/2020,4/25/2020,45-49,???,2182,48,<15
4/19/2020,4/25/2020,45-49,?? ????,<15,0,0
4/19/2020,4/25/2020,45-49,????,2500,47,0
4/19/2020,4/25/2020,50-54,???,1812,38,0
4/19/2020,4/25/2020,50-54,?? ????,<15,0,0
4/19/2020,4/25/2020,50-54,????,2438,34,<15
4/19/2020,4/25/2020,55-59,???,1678,29,<15
4/19/2020,4/25/2020,55-59,?? ????,<15,0,0
4/19/2020,4/25/2020,55-59,????,2196,38,<15
4/19/2020,4/25/2020,60-64,???,1576,22,<15
4/19/2020,4/25/2020,60-64,?? ????,<15,0,0
4/19/2020,4/25/2020,60-64,????,2007,29,0
4/19/2020,4/25/2020,65-69,???,1437,15,<15
4/19/2020,4/25/2020,65-69,?? ????,<15,0,0
4/19/2020,4/25/2020,65-69,????,1543,<15,0
4/19/2020,4/25/2020,70-74,???,1369,17,<15
4/19/2020,4/25/2020,70-74,?? ????,<15,0,0
4/19/2020,4/25/2020,70-74,????,1450,16,<15
4/19/2020,4/25/2020,75-79,???,931,<15,<15
4/19/2020,4/25/2020,75-79,????,1217,15,<15
4/19/2020,4/25/2020,80+,???,2802,25,<15
4/19/2020,4/25/2020,80+,?? ????,<15,0,0
4/19/2020,4/25/2020,80+,????,6187,43,<15
4/19/2020,4/25/2020,NULL,???,1042,<15,0
4/19/2020,4/25/2020,NULL,?? ????,787,<15,0
4/19/2020,4/25/2020,NULL,????,1210,18,0
4/26/2020,5/2/2020,0-19,???,3635,149,0
4/26/2020,5/2/2020,0-19,?? ????,112,<15,0
4/26/2020,5/2/2020,0-19,????,2525,123,0
4/26/2020,5/2/2020,20-24,???,2848,66,0
4/26/2020,5/2/2020,20-24,?? ????,<15,<15,0
4/26/2020,5/2/2020,20-24,????,2061,41,0
4/26/2020,5/2/2020,25-29,???,2124,41,0
4/26/2020,5/2/2020,25-29,?? ????,<15,0,0
4/26/2020,5/2/2020,25-29,????,2182,32,0
4/26/2020,5/2/2020,30-34,???,2077,26,0
4/26/2020,5/2/2020,30-34,?? ????,<15,0,0
4/26/2020,5/2/2020,30-34,????,2125,25,0
4/26/2020,5/2/2020,35-39,???,1832,15,0
4/26/2020,5/2/2020,35-39,?? ????,<15,0,0
4/26/2020,5/2/2020,35-39,????,1886,21,0
4/26/2020,5/2/2020,40-44,???,1725,<15,0
4/26/2020,5/2/2020,40-44,?? ????,<15,0,0
4/26/2020,5/2/2020,40-44,????,1759,18,0
4/26/2020,5/2/2020,45-49,???,1625,16,0
4/26/2020,5/2/2020,45-49,?? ????,<15,0,0
4/26/2020,5/2/2020,45-49,????,1823,18,0
4/26/2020,5/2/2020,50-54,???,1537,<15,0
4/26/2020,5/2/2020,50-54,?? ????,<15,0,0
4/26/2020,5/2/2020,50-54,????,1738,15,0
4/26/2020,5/2/2020,55-59,???,1327,<15,0
4/26/2020,5/2/2020,55-59,?? ????,<15,0,0
4/26/2020,5/2/2020,55-59,????,1597,18,0
4/26/2020,5/2/2020,60-64,???,1244,15,<15
4/26/2020,5/2/2020,60-64,????,1537,<15,<15
4/26/2020,5/2/2020,65-69,???,1156,<15,<15
4/26/2020,5/2/2020,65-69,?? ????,<15,0,0
4/26/2020,5/2/2020,65-69,????,1261,<15,<15
4/26/2020,5/2/2020,70-74,???,1039,<15,<15
4/26/2020,5/2/2020,70-74,?? ????,<15,<15,0
4/26/2020,5/2/2020,70-74,????,1073,<15,<15
4/26/2020,5/2/2020,75-79,???,722,<15,<15
4/26/2020,5/2/2020,75-79,?? ????,<15,0,0
4/26/2020,5/2/2020,75-79,????,838,<15,0
4/26/2020,5/2/2020,80+,???,2077,<15,15
